
2026-02-26 01:01:47,002 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:01:47,636 - position_manager - INFO - Position Added: 5016.T (LONG) SL=4147.5, TP1=4246.7
2026-02-26 01:02:17,636 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:02:48,548 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:03:19,033 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:03:49,541 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:04:20,051 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:04:50,572 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:05:21,656 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:05:52,131 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:06:22,601 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:06:53,108 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:07:23,596 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:07:54,085 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:08:24,553 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:08:55,037 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:09:25,553 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:09:56,082 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:10:26,544 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:10:57,010 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:11:27,509 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:11:58,005 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:12:28,536 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:12:59,381 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:12:59,973 - position_manager - INFO - Position Added: 5706.T (LONG) SL=36095.5, TP1=36902.5
2026-02-26 01:13:29,994 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:14:00,512 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:14:31,302 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:14:31,995 - position_manager - INFO - Position Added: 5706.T (LONG) SL=35960.6, TP1=36797.1
2026-02-26 01:15:02,016 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:15:32,479 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:16:03,007 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:16:33,692 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:16:34,284 - position_manager - INFO - Position Added: 5706.T (LONG) SL=35724.3, TP1=36538.4
2026-02-26 01:17:04,306 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:17:34,808 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:18:05,332 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:18:35,880 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:19:06,354 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:19:36,825 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:20:07,364 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:20:37,997 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:20:38,776 - position_manager - INFO - Position Added: 5706.T (LONG) SL=35647.3, TP1=36443.3
2026-02-26 01:21:08,797 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:21:39,318 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:22:09,806 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:22:40,371 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:23:10,855 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:23:41,356 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:24:11,840 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:24:42,672 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:25:13,174 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:25:43,659 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:26:14,198 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:26:44,699 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:27:15,184 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:27:45,677 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:27:46,100 - __main__ - INFO - Signal missed: 5801.T (LONG) Score: 15.0 (Req: 18.0) [RSI:48.6, VWAP:-0.29, RVOL:0.73, ADX:24.0]
2026-02-26 01:28:16,174 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:28:16,588 - __main__ - INFO - Signal missed: 5801.T (LONG) Score: 15.0 (Req: 18.0) [RSI:51.0, VWAP:0.23, RVOL:0.92, ADX:23.6]
2026-02-26 01:28:46,663 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:28:47,090 - __main__ - INFO - Signal missed: 5801.T (LONG) Score: 15.0 (Req: 18.0) [RSI:51.4, VWAP:0.33, RVOL:0.92, ADX:23.7]
2026-02-26 01:29:17,164 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:29:47,772 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:30:18,240 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:30:48,717 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:31:19,191 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:31:49,967 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:32:20,477 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:32:50,964 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:33:21,474 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:33:51,949 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:34:22,455 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:34:52,901 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:35:23,395 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:35:54,239 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:36:24,711 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:36:55,189 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:37:25,716 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:37:56,204 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:38:26,729 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:38:57,197 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:39:27,673 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:39:58,165 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:40:28,642 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:40:59,111 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:41:29,626 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:42:00,104 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:42:30,617 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:43:01,461 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:43:31,962 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:44:02,443 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:44:32,942 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:45:03,402 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:45:33,904 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:46:04,397 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:46:34,885 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:47:05,358 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:47:35,824 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:48:06,319 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:48:36,771 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:49:07,261 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:49:37,936 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:50:08,458 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:50:38,901 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:51:09,390 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:51:39,877 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:52:10,412 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:52:40,918 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:53:11,387 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:53:41,880 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:54:12,371 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:54:42,886 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:55:13,414 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:55:43,924 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:56:14,403 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:56:44,900 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:57:15,402 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:57:45,901 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:58:16,387 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:58:46,930 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:59:17,415 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 01:59:47,918 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

2026-02-26 02:00:18,410 - __main__ - ERROR - Error calculating daily profit: Error tokenizing data. C error: Expected 11 fields in line 14, saw 12

